Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,23,7.0,14,114,46,40.4,16.29,6.57,0.12,0.3,14.8,0,0,0,12.8,12.8,0.12,1.2,1.2
Aston Villa,20,7.0,12,80,25,31.3,11.43,3.57,0.15,0.48,16.3,3,0,0,9.8,9.8,0.13,2.2,2.2
Bournemouth,22,7.0,8,116,35,30.2,16.57,5.0,0.07,0.23,17.8,3,0,1,12.1,11.3,0.1,-4.1,-3.3
Brentford,20,7.0,13,77,39,50.6,11.0,5.57,0.16,0.31,14.8,2,1,1,11.2,10.4,0.14,1.8,1.6
Brighton,25,7.0,13,107,31,29.0,15.29,4.43,0.12,0.42,17.4,6,0,0,10.7,10.7,0.1,2.3,2.3
Chelsea,21,7.0,16,95,39,41.1,13.57,5.57,0.16,0.38,16.4,3,1,1,14.4,13.6,0.15,1.6,1.4
Crystal Palace,22,7.0,4,91,27,29.7,13.0,3.86,0.03,0.11,18.0,4,1,1,8.1,7.3,0.08,-4.1,-4.3
Everton,22,7.0,7,76,21,27.6,10.86,3.0,0.09,0.33,16.4,2,0,0,6.8,6.8,0.09,0.2,0.2
Fulham,20,7.0,10,104,33,31.7,14.86,4.71,0.09,0.27,16.0,3,1,1,10.8,10.0,0.1,-0.8,-1.0
Ipswich Town,24,7.0,6,62,21,33.9,8.86,3.0,0.1,0.29,16.8,1,0,0,5.0,5.0,0.08,1.0,1.0
Leicester City,21,7.0,9,58,21,36.2,8.29,3.0,0.16,0.43,18.5,1,0,0,5.1,5.1,0.09,3.9,3.9
Liverpool,23,7.0,13,106,42,39.6,15.14,6.0,0.11,0.29,15.7,2,1,1,13.8,13.0,0.13,-0.8,-1.0
Manchester City,20,7.0,17,134,48,35.8,19.14,6.86,0.12,0.33,17.9,4,1,1,13.8,13.0,0.1,3.2,3.0
Manchester Utd,22,7.0,5,89,33,37.1,12.71,4.71,0.06,0.15,16.7,1,0,0,11.0,11.0,0.13,-6.0,-6.0
Newcastle Utd,19,7.0,8,79,24,30.4,11.29,3.43,0.09,0.29,15.1,1,1,2,10.4,8.8,0.11,-2.4,-1.8
Nott'ham Forest,22,7.0,7,88,36,40.9,12.57,5.14,0.07,0.17,18.0,3,1,1,8.1,7.3,0.09,-1.1,-1.3
Southampton,26,7.0,4,75,20,26.7,10.71,2.86,0.05,0.2,17.1,2,0,1,8.2,7.4,0.1,-4.2,-3.4
Tottenham,21,7.0,13,123,46,37.4,17.57,6.57,0.11,0.28,15.9,2,0,0,14.8,14.8,0.13,-1.8,-1.8
West Ham,23,7.0,9,109,32,29.4,15.57,4.57,0.07,0.25,17.0,2,1,1,10.5,9.7,0.09,-1.5,-1.7
Wolves,23,7.0,9,79,27,34.2,11.29,3.86,0.11,0.33,19.0,2,0,0,6.6,6.6,0.08,2.4,2.4
